names,codes
"Acute Lymphoblastic Leukemia (ALL) in Remission, Adult ALL in Remission, Adult Acute Lymphoblastic Leukemia in Remission, Adult Acute Lymphocytic Leukemia in Remission, Adult Acute Lymphogenous Leukemia in Remission, Adult Acute Lymphoid Leukemia in Remission, Adult Precursor Lymphoblastic Leukemia in Remission, Childhood ALL in Remission, Childhood Acute Lymphoblastic Leukemia in Remission, Childhood Acute Lymphocytic Leukemia in Remission, Childhood Acute Lymphogenous Leukemia in Remission, Childhood Acute Lymphoid Leukemia in Remission, Childhood Precursor Lymphoblastic Leukemia in Remission, Pediatric ALL in Remission, Pediatric Acute Lymphoblastic Leukemia in Remission, Pediatric Acute Lymphocytic Leukemia in Remission, Pediatric Acute Lymphogenous Leukemia in Remission, Pediatric Acute Lymphoid Leukemia in Remission","C7937, C7938"
"Acute Lymphoblastic Leukemia in Remission, ALL in Remission, Acute Lymphocytic Leukemia (in Remission), Acute Lymphocytic Leukemia in Remission, Acute Lymphogenous Leukemia in Remission, Acute Lymphoid Leukemia in Remission, Acute lymphoblastic leukemia, in remission, Precursor Lymphoblastic Leukemia in Remission",C3586
"Acute Megakaryoblastic Leukemia, AMKL, Acute M7 Myeloid Leukemia, Acute Megakaryoblastic Leukemia (FAB Type M7), Acute Megakaryocytic Leukemia, Acute megakaryoblastic leukaemia, Adult Acute M7 Leukemia, Adult Acute Megakaryoblastic Leukemia, Adult Acute Megakaryocytic Leukemia, Adult Acute Megakaryocytic Leukemia (M7), Childhood AMKL, Childhood Acute M7 Leukemia, Childhood Acute Megakaryoblastic Leukemia, Childhood Acute Megakaryocytic Leukemia, Childhood Acute Megakaryocytic Leukemia (M7), Fab M7, LEUKEMIA, MEGAKARYOCYTIC, MALIGNANT, M7, M7 Adult Acute Leukemia, M7 Adult Acute Megakaryocytic Leukemia, M7 Childhood Acute Megakaryocytic Leukemia, M7 OR Acute Megakaryoblastic Leukemia, M7 Pediatric Acute Megakaryocytic Leukemia, Pediatric Acute M7 Leukemia, Pediatric Acute Megakaryoblastic Leukemia, Pediatric Acute Megakaryocytic Leukemia","C7965, C3170, C7972"
"Acute Monoblastic Leukemia, Adult Acute M5a Leukemia, Adult Acute Monoblastic Leukemia, Childhood Acute M5a Leukemia, Childhood Acute Monoblastic Leukemia, Childhood Acute Monoblastic Leukemia without Differentiation, M5a Adult Acute Leukemia, M5a Adult Acute Poorly Differentiated Monoblastic Leukemia, M5a Childhood Acute Monoblastic Leukemia without Differentiation, M5a Pediatric Acute Monoblastic Leukemia without Differentiation, Pediatric Acute M5a Leukemia, Pediatric Acute Monoblastic Leukemia without Differentiation","C9156, C9162"
"Acute Monoblastic and Monocytic Leukemia, Acute Monoblastic Leukemia and Acute Monocytic Leukemia, Acute Monoblastic/Monocytic Leukemia, Acute Myeloid Leukemia M5, Adult Acute Monoblastic Leukemia and Acute Monocytic Leukemia, Adult Acute Monoblastic and Monocytic Leukemia, Adult Acute Monoblastic and Monocytic Leukemia (FAB M5), Adult Acute Monoblastic and Monocytic Leukemia (M5), FAB M5 (includes all variants), M5, M5 Adult Acute Monoblastic and Monocytic Leukemia, M5 OR Acute Monoblastic/Monocytic Leukemia","C7319, C7318"
"Acute Monocytic Leukemia, Acute Monocytic Leukemia (FAB M5b), Adult Acute Differentiated Monocytic Leukemia (M5b), Adult Acute Monocytic Leukemia, Childhood Acute Differentiated Monocytic Leukemia (M5b), Childhood Acute M5b Leukemia, Childhood Acute Monocytic Leukemia, Childhood Acute Monocytic Leukemia with Differentiation, LEUKEMIA, MONOCYTIC, MALIGNANT, M5b, M5b Adult Acute Differentiated Monocytic Leukemia, M5b Adult Acute Leukemia, M5b Childhood Acute Differentiated Monocytic Leukemia, M5b Pediatric Acute Differentiated Monocytic Leukemia, Monocytic Leukemia, Pediatric Acute Differentiated Monocytic Leukemia, Pediatric Acute M5b Leukemia, Pediatric Acute Monocytic Leukemia with Differentiation","C8263, C9163, C4861"
"Acute Myeloid Leukemia (AML), AML, AML - Acute Myeloid Leukemia, ANLL, Acute Granulocytic Leukemia, Acute Myeloblastic Leukemia, Acute Myelocytic Leukemia, Acute Myelogenous Leukemia, Acute Myelogenous Leukemias, Acute Myeloid Leukemia, Acute Nonlymphocytic Leukemia, Adult AML, Adult ANLL, Adult Acute Myeloblastic Leukemia, Adult Acute Myelogenous Leukemia, Adult Acute Myeloid Leukemia, Adult Acute Non-Lymphoblastic Leukemia, Adult Acute NonLymphoblastic Leukemia, Childhood AML, Childhood Acute Myeloblastic Leukemia, Childhood Acute Myelogenous Leukemia, Childhood Acute Myeloid Leukemia, Childhood Acute Myeloid Leukemia (AML), Hematopoeitic - Acute Myleogenous Leukemia (AML), Pediatric AML, Pediatric Acute Myeloblastic Leukemia, Pediatric Acute Myelogenous Leukemia, Pediatric Acute Myeloid Leukemia","C3171, C9154, C9160"
"Acute Myeloid Leukemia (AML) Arising from Previous Myelodysplastic Syndrome, AML/MDS, Acute Myeloid Leukemia Arising from Previous Myelodysplastic Syndrome, Acute Myeloid Leukemia with Multilineage Dysplasia following Myelodysplastic Syndrome",C4037
"Acute Myeloid Leukemia (AML) in Remission, Adult AML in Remission, Adult ANLL in Remission, Adult Acute Granulocytic Leukemia in Remission, Adult Acute Myeloblastic Leukemia in Remission, Adult Acute Myelogenous Leukemia in Remission, Adult Acute Myeloid Leukemia in Remission, Adult Acute Non-Lymphoblastic Leukemia in Remission, Adult Acute Non-Lymphocytic Leukemia in Remission, Adult Acute NonLymphocytic Leukemia in Remission, Childhood AML in Remission, Childhood Acute Granulocytic Leukemia in Remission, Childhood Acute Myeloblastic Leukemia in Remission, Childhood Acute Myelocytic Leukemia in Remission, Childhood Acute Myelogenous Leukemia in Remission, Childhood Acute Myeloid Leukemia in Remission, Pediatric AML in Remission, Pediatric Acute Granulocytic Leukemia in Remission, Pediatric Acute Myeloblastic Leukemia in Remission, Pediatric Acute Myelocytic Leukemia in Remission, Pediatric Acute Myelogenous Leukemia in Remission, Pediatric Acute Myeloid Leukemia in Remission","C7936, C9115"
"Acute Myeloid Leukemia (AML) with Abnormalities of Chromosome 5q, Childhood AML with Abnormalities of Chromosome 5q, Childhood Acute Myeloid Leukemia with Abnormalities of Chromosome 5q",C122725
"Acute Myeloid Leukemia (AML) with Abnormalities of Chromosome 7, Childhood AML with Abnormalities of Chromosome 7, Childhood Acute Myeloid Leukemia with Abnormalities of Chromosome 7",C122726
"Acute Myeloid Leukemia (AML) with FLT3/ITD, Acute Myeloid Leukemia with FLT3/ITD, Acute Myeloid Leukemia with FLT3/ITD Mutation",C126748
"Acute Myeloid Leukemia (AML) with Maturation, Adult Acute Granulocytic Leukemia with Maturation, Adult Acute M2 Leukemia, Adult Acute Myeloblastic Leukemia with Maturation, Adult Acute Myeloblastic Leukemia with Maturation (M2), Adult Acute Myelocytic Leukemia with Maturation, Adult Acute Myelogenous Leukemia with Maturation, Adult Acute Myeloid Leukemia with Maturation, Childhood Acute M2 Leukemia, Childhood Acute Myeloblastic Leukemia with Maturation, Childhood Acute Myeloblastic Leukemia with Maturation (M2), Childhood Acute Myelogenous Leukemia with Maturation, Childhood Acute Myeloid Leukemia with Maturation, M2 Adult Acute Granulocytic Leukemia, M2 Adult Acute Granulocytic Leukemia with Maturation, M2 Adult Acute Myeloblastic Leukemia, M2 Adult Acute Myeloblastic Leukemia with Maturation, M2 Adult Acute Myelocytic Leukemia, M2 Adult Acute Myelocytic Leukemia with Maturation, M2 Adult Acute Myelogenous Leukemia, M2 Adult Acute Myelogenous Leukemia with Maturation, M2 Adult Acute Myeloid Leukemia, M2 Adult Acute Myeloid Leukemia with Maturation, M2 Childhood Acute Myeloblastic Leukemia with Maturation, M2 Childhood Acute Myelogenous Leukemia, M2 Childhood Acute Myelogenous Leukemia with Maturation, M2 Childhood Acute Myeloid Leukemia with Maturation, M2 Pediatric AGL, M2 Pediatric Acute Myeloblastic Leukemia with Maturation, M2 Pediatric Acute Myelogenous Leukemia, M2 Pediatric Acute Myelogenous Leukemia with Maturation, M2 Pediatric Acute Myeloid Leukemia with Maturation, Pediatric Acute M2 Leukemia, Pediatric Acute Myeloblastic Leukemia with Maturation, Pediatric Acute Myelogenous Leukemia with Maturation, Pediatric Acute Myeloid Leukemia with Maturation","C7961, C9381"
"Acute Myeloid Leukemia (AML) with Minimal Differentiation, Adult Acute M0 Leukemia, Adult Acute Minimally Differentiated Myeloid Leukemia (M0), Adult Acute Myeloblastic Leukemia with Minimal Differentiation, Adult Acute Myelogenous Leukemia with Minimal Differentiation, Adult Acute Myeloid Leukemia Minimally Differentiated, Adult Acute Myeloid Leukemia with Minimal Differentiation, Childhood Acute M0 Leukemia, Childhood Acute Minimally Differentiated Myeloid Leukemia, Childhood Acute Minimally Differentiated Myeloid Leukemia (M0), Childhood Acute Myeloid Leukemia Minimally Differentiated, Childhood Acute Myeloid Leukemia with Minimal Differentiation, M0 Adult AML, M0 Adult ANLL, M0 Adult Acute Leukemia, M0 Adult Acute Myeloblastic Leukemia, M0 Adult Acute Myeloblastic Leukemia with Minimal Differentiation, M0 Adult Acute Myelogenous Leukemia, M0 Adult Acute Myelogenous Leukemia with Minimal Differentiation, M0 Adult Acute Myeloid Leukemia with Minimal Differentiation, M0 Childhood Acute Minimally Differentiated Myeloid Leukemia, M0 Pediatric Acute Minimally Differentiated Myeloid Leukemia, M0 Undifferentiated OR AML with minimal differentiation, Pediatric Acute M0 Leukemia, Pediatric Acute Minimally Differentiated Myeloid Leukemia","C8303, C8304"
"Acute Myeloid Leukemia (AML) with inv(16)(p13.1q22); CBFB-MYH11, Adult Acute Myeloid Leukemia with inv(16)(p13.1q22), Adult Acute Myeloid Leukemia with inv(16)(p13.1q22); CBFB-MYH11, Adult Acute Myeloid Leukemia with inv(16)(p13.1q22); CBFB-MYH11 Fusion, Adult Acute Myeloid Leukemia with inv(16)(p13.1q22); CBFB::MYH11, Adult Acute Myeloid Leukemia with inv(16)(p13.1q22); CBFB::MYH11 Fusion",C68697
"Acute Myeloid Leukemia (AML) with t(16;16)(p13.1;q22); CBFB-MYH11, Adult Acute Myeloid Leukemia with t(16;16)(p13.1;q22); CBFB-MYH11, Adult Acute Myeloid Leukemia with t(16;16)(p13.1;q22); CBFB-MYH11 Fusion, Adult Acute Myeloid Leukemia with t(16;16)(p13.1;q22); CBFB::MYH11, Adult Acute Myeloid Leukemia with t(16;16)(p13.1;q22); CBFB::MYH11 Fusion, Adult Acute Myeloid Leukemia with t(16;16)(p13;q22)",C68698
"Acute Myeloid Leukemia (AML) with t(8;21); (q22; q22.1); RUNX1-RUNX1T1, Adult Acute Myeloid Leukemia with t(8;21)(q22; q22.1); RUNX1::RUNX1T1, Adult Acute Myeloid Leukemia with t(8;21)(q22;q22)(AML1(CBFa)/ETO), Adult Acute Myeloid Leukemia with t(8;21)(q22;q22); RUNX1-RUNX1T1, Adult Acute Myeloid Leukemia with t(8;21); (q22; q22.1); RUNX1-RUNX1T1, Adult Acute Myeloid Leukemia with t(8;21); (q22; q22.1); RUNX1-RUNX1T1 Fusion, Adult Acute Myeloid Leukemia with t(8;21); (q22; q22.1); RUNX1::RUNX1T1 Fusion",C68699
"Acute Myeloid Leukemia (AML) with t(9;11)(p21.3;q23.3); MLLT3-KMT2A, Adult Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-KMT2A, Adult Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-KMT2A Fusion, Adult Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3::KMT2A, Adult Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3::KMT2A Fusion, Adult Acute Myeloid Leukemia with t(9;11)(p21;q23); MLLT3-MLL, Adult Acute Myeloid Leukemia with t(9;11)(p21;q23); MLLT3::MLL, Adult Acute Myeloid Leukemia with t(9;11)(p22;q23); MLLT3-MLL",C68696
"Acute Myeloid Leukemia (AML) without Maturation, Adult Acute Myeloblastic Leukemia, Adult Acute Myeloblastic Leukemia without Maturation, Adult Acute Myeloblastic Leukemia without Maturation (M1), Adult Acute Myelogenous Leukemia without Maturation, Adult Acute Myeloid Leukemia without Maturation, Childhood AML without Maturation, Childhood Acute M1 Leukemia, Childhood Acute Myeloblastic Leukemia Without Maturation (M1), Childhood Acute Myeloblastic Leukemia without Maturation, Childhood Acute Myelogenous Leukemia without Maturation, Childhood Acute Myeloid Leukemia without Maturation, M1, M1 Adult Acute Myeloblastic Leukemia, M1 Adult Acute Myelogenous Leukemia, M1 Adult Acute Myelogenous Leukemia without Maturation, M1 Adult Acute Myeloid Leukemia, M1 Adult Acute Myeloid Leukemia without Maturation, M1 Childhood Acute Myeloblastic Leukemia without Maturation, M1 Childhood Acute Myelogenous Leukemia without Maturation, M1 Childhood Acute Myeloid Leukemia without Maturation, M1 Pediatric Acute Myeloblastic Leukemia without Maturation, M1 Pediatric Acute Myelogenous Leukemia, M1 Pediatric Acute Myelogenous Leukemia without Maturation, M1 Pediatric Acute Myeloid Leukemia without Maturation, Pediatric AML without Maturation, Pediatric Acute M1 Leukemia, Pediatric Acute Myeloblastic Leukemia without Maturation, Pediatric Acute Myelogenous Leukemia without Maturation, Pediatric Acute Myeloid Leukemia without Maturation","C9380, C9158"
"Acute Myeloid Leukemia Arising from Previous Chronic Myelomonocytic Leukemia, AML Arising from Previous CMML",C213422
Acute Myeloid Leukemia Arising from Previous Myelodysplastic/Myeloproliferative Neoplasm,C172130
Acute Myeloid Leukemia Arising from Previous Myeloproliferative Neoplasm,C172129
"Acute Myeloid Leukemia in Remission, AML in Remission, ANLL in Remission, Acute Granulocytic Leukemia in Remission, Acute Myeloblastic Leukemia in Remission, Acute Myelocytic Leukemia in Remission, Acute Myelogenous Leukemia in Remission, Acute Myeloid Leukemia (in Remission), Acute Non-Lymphoblastic Leukemia in Remission, Acute Non-Lymphocytic Leukemia in Remission, Acute Nonlymphoblastic Leukemia in Remission, Acute Nonlymphocytic Leukemia in Remission, Acute myeloblastic leukemia, in remission",C3588
"Acute Myeloid Leukemia with BCR-ABL1, Acute Myeloid Leukemia with BCR-ABL1 Fusion, Acute Myeloid Leukemia with BCR::ABL1, Acute Myeloid Leukemia with BCR::ABL1 Fusion, Provisional Entity: AML with BCR-ABL1",C129785
"Acute Myeloid Leukemia with MLL Rearrangement, Acute Myeloid Leukemia with 11q23 Abnormalities, Acute Myeloid Leukemia with KMT2A Rearrangement, Acute Myeloid Leukemia with KMT2A/MLL Rearrangement, Acute Myeloid Leukemia with MLLr, Acute Myeloid Leukemia, MLL, Acute myeloid leukemia, 11q23 abnormalities",C174129
"Acute Myeloid Leukemia with Maturation, AML with Maturation, Acute M2 Myeloid Leukemia, Acute Myeloblastic Leukemia with Maturation, Acute Myelocytic Leukemia with Maturation, Acute Myelogenous Leukemia with Maturation, Acute Myeloid Leukemia (AML-M2), FAB M2, M2, M2 Acute Granulocytic Leukemia, M2 Acute Myeloblastic Leukemia, M2 Acute Myeloblastic Leukemia with Maturation, M2 Acute Myelocytic Leukemia with Maturation, M2 Acute Myelogenous Leukemia, M2 Acute Myelogenous Leukemia with Maturation, M2 Acute Myeloid Leukemia, M2 Acute Myeloid Leukemia with Maturation",C3250
"Acute Myeloid Leukemia with Minimal Differentiation, AML with Minimal Differentiation, Acute Myeloblastic Leukemia with Minimal Differentiation, Acute Myeloblastic Leukemia, Minimally Differentiated, Acute Myelogenous Leukemia with Minimal Differentiation, Acute Myeloid Leukemia with Minimal Differentiation (MO), Acute Myeloid Leukemia, Minimally Differentiated, Acute myeloid leukemia, minimal differentiation, FAB M0, M0, M0 Acute Myeloblastic Leukemia, M0 Acute Myelogenous Leukemia, M0 Acute Myelogenous Leukemia with Minimal Differentiation, M0 Myeloid Leukemia, M0 Myeloid Leukemia with Minimal Differentiation",C8460
"Acute Myeloid Leukemia with Multilineage Dysplasia, AML with Multilineage Dysplasia, AML-MLD, De Novo Acute Myeloid Leukemia with Multilineage Dysplasia",C9289
"Acute Myeloid Leukemia with Mutated TP53, AML with Mutated TP53",C198596
"Acute Myeloid Leukemia with Myelodysplasia-Related Cytogenetic Abnormalities, AML with MDS-Related Cytogenetic Abnormalities, AML with Myelodysplasia-Related Cytogenetic Abnormalities",C198957
"Acute Myeloid Leukemia with Myelodysplasia-Related Gene Mutations, AML MDS-R Gene Mutations, AML with MDS-R Gene Mutations, AML with Myelodysplasia-Related Gene Mutations",C82430
